Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
25-29 years, Total, Total, Vaslui, Year 2024, Number of persons, 17711
25-29 years, Total, Total, Braila, Year 2013, Number of persons, 17211
25-29 years, Total, Total, Braila, Year 2014, Number of persons, 17655
25-29 years, Total, Total, Braila, Year 2015, Number of persons, 17427
25-29 years, Total, Total, Braila, Year 2016, Number of persons, 15996
25-29 years, Total, Total, Braila, Year 2017, Number of persons, 14278
25-29 years, Total, Total, Braila, Year 2018, Number of persons, 12331
25-29 years, Total, Total, Braila, Year 2019, Number of persons, 11637
25-29 years, Total, Total, Braila, Year 2020, Number of persons, 11530
25-29 years, Total, Total, Braila, Year 2021, Number of persons, 11979
25-29 years, Total, Total, Braila, Year 2022, Number of persons, 11372
25-29 years, Total, Total, Braila, Year 2023, Number of persons, 11187
25-29 years, Total, Total, Braila, Year 2024, Number of persons, 11338
25-29 years, Total, Total, Buzau, Year 2013, Number of persons, 24717
25-29 years, Total, Total, Buzau, Year 2014, Number of persons, 25173
25-29 years, Total, Total, Buzau, Year 2015, Number of persons, 24680
25-29 years, Total, Total, Buzau, Year 2016, Number of persons, 22551
25-29 years, Total, Total, Buzau, Year 2017, Number of persons, 20313
25-29 years, Total, Total, Buzau, Year 2018, Number of persons, 18104
25-29 years, Total, Total, Buzau, Year 2019, Number of persons, 17208
25-29 years, Total, Total, Buzau, Year 2020, Number of persons, 17287
25-29 years, Total, Total, Buzau, Year 2021, Number of persons, 18007
25-29 years, Total, Total, Buzau, Year 2022, Number of persons, 18109
25-29 years, Total, Total, Buzau, Year 2023, Number of persons, 17718
25-29 years, Total, Total, Buzau, Year 2024, Number of persons, 18022
25-29 years, Total, Total, Constanta, Year 2013, Number of persons, 49559
25-29 years, Total, Total, Constanta, Year 2014, Number of persons, 51061
25-29 years, Total, Total, Constanta, Year 2015, Number of persons, 51673
25-29 years, Total, Total, Constanta, Year 2016, Number of persons, 49912
25-29 years, Total, Total, Constanta, Year 2017, Number of persons, 46570
25-29 years, Total, Total, Constanta, Year 2018, Number of persons, 42205
25-29 years, Total, Total, Constanta, Year 2019, Number of persons, 38481
25-29 years, Total, Total, Constanta, Year 2020, Number of persons, 34762
25-29 years, Total, Total, Constanta, Year 2021, Number of persons, 32177
25-29 years, Total, Total, Constanta, Year 2022, Number of persons, 29613
25-29 years, Total, Total, Constanta, Year 2023, Number of persons, 29771
25-29 years, Total, Total, Constanta, Year 2024, Number of persons, 30461
25-29 years, Total, Total, Galati, Year 2013, Number of persons, 31718
25-29 years, Total, Total, Galati, Year 2014, Number of persons, 32677
25-29 years, Total, Total, Galati, Year 2015, Number of persons, 32698
25-29 years, Total, Total, Galati, Year 2016, Number of persons, 31077
25-29 years, Total, Total, Galati, Year 2017, Number of persons, 29311
25-29 years, Total, Total, Galati, Year 2018, Number of persons, 27334
25-29 years, Total, Total, Galati, Year 2019, Number of persons, 25939
25-29 years, Total, Total, Galati, Year 2020, Number of persons, 25459
25-29 years, Total, Total, Galati, Year 2021, Number of persons, 25493
25-29 years, Total, Total, Galati, Year 2022, Number of persons, 22699
25-29 years, Total, Total, Galati, Year 2023, Number of persons, 22834
25-29 years, Total, Total, Galati, Year 2024, Number of persons, 23308
25-29 years, Total, Total, Tulcea, Year 2013, Number of persons, 12329
25-29 years, Total, Total, Tulcea, Year 2014, Number of persons, 12447
25-29 years, Total, Total, Tulcea, Year 2015, Number of persons, 11915
25-29 years, Total, Total, Tulcea, Year 2016, Number of persons, 10801
25-29 years, Total, Total, Tulcea, Year 2017, Number of persons, 9588
25-29 years, Total, Total, Tulcea, Year 2018, Number of persons, 8299
25-29 years, Total, Total, Tulcea, Year 2019, Number of persons, 7742
25-29 years, Total, Total, Tulcea, Year 2020, Number of persons, 7668
25-29 years, Total, Total, Tulcea, Year 2021, Number of persons, 7884
25-29 years, Total, Total, Tulcea, Year 2022, Number of persons, 7767
25-29 years, Total, Total, Tulcea, Year 2023, Number of persons, 7612
25-29 years, Total, Total, Tulcea, Year 2024, Number of persons, 7618
25-29 years, Total, Total, Vrancea, Year 2013, Number of persons, 19528
25-29 years, Total, Total, Vrancea, Year 2014, Number of persons, 19969
25-29 years, Total, Total, Vrancea, Year 2015, Number of persons, 19677
25-29 years, Total, Total, Vrancea, Year 2016, Number of persons, 18461
25-29 years, Total, Total, Vrancea, Year 2017, Number of persons, 16843
25-29 years, Total, Total, Vrancea, Year 2018, Number of persons, 15375
25-29 years, Total, Total, Vrancea, Year 2019, Number of persons, 14838
25-29 years, Total, Total, Vrancea, Year 2020, Number of persons, 14760
25-29 years, Total, Total, Vrancea, Year 2021, Number of persons, 15218
25-29 years, Total, Total, Vrancea, Year 2022, Number of persons, 16088
25-29 years, Total, Total, Vrancea, Year 2023, Number of persons, 15774
25-29 years, Total, Total, Vrancea, Year 2024, Number of persons, 15871
25-29 years, Total, Total, Arges, Year 2013, Number of persons, 37431
25-29 years, Total, Total, Arges, Year 2014, Number of persons, 38040
25-29 years, Total, Total, Arges, Year 2015, Number of persons, 37645
25-29 years, Total, Total, Arges, Year 2016, Number of persons, 35656
25-29 years, Total, Total, Arges, Year 2017, Number of persons, 33579
25-29 years, Total, Total, Arges, Year 2018, Number of persons, 31725
25-29 years, Total, Total, Arges, Year 2019, Number of persons, 30322
25-29 years, Total, Total, Arges, Year 2020, Number of persons, 29204
25-29 years, Total, Total, Arges, Year 2021, Number of persons, 28712
25-29 years, Total, Total, Arges, Year 2022, Number of persons, 27099
25-29 years, Total, Total, Arges, Year 2023, Number of persons, 26425
25-29 years, Total, Total, Arges, Year 2024, Number of persons, 26606
25-29 years, Total, Total, Calarasi, Year 2013, Number of persons, 18653
25-29 years, Total, Total, Calarasi, Year 2014, Number of persons, 19484
25-29 years, Total, Total, Calarasi, Year 2015, Number of persons, 19645
25-29 years, Total, Total, Calarasi, Year 2016, Number of persons, 18273
25-29 years, Total, Total, Calarasi, Year 2017, Number of persons, 16374
25-29 years, Total, Total, Calarasi, Year 2018, Number of persons, 14215
25-29 years, Total, Total, Calarasi, Year 2019, Number of persons, 13034
25-29 years, Total, Total, Calarasi, Year 2020, Number of persons, 12215
25-29 years, Total, Total, Calarasi, Year 2021, Number of persons, 12347
25-29 years, Total, Total, Calarasi, Year 2022, Number of persons, 13128
25-29 years, Total, Total, Calarasi, Year 2023, Number of persons, 13193
25-29 years, Total, Total, Calarasi, Year 2024, Number of persons, 13571
25-29 years, Total, Total, Dambovita, Year 2013, Number of persons, 35255
25-29 years, Total, Total, Dambovita, Year 2014, Number of persons, 36943
25-29 years, Total, Total, Dambovita, Year 2015, Number of persons, 37314
25-29 years, Total, Total, Dambovita, Year 2016, Number of persons, 35407
25-29 years, Total, Total, Dambovita, Year 2017, Number of persons, 32951
25-29 years, Total, Total, Dambovita, Year 2018, Number of persons, 29655
25-29 years, Total, Total, Dambovita, Year 2019, Number of persons, 27205
25-29 years, Total, Total, Dambovita, Year 2020, Number of persons, 25627
25-29 years, Total, Total, Dambovita, Year 2021, Number of persons, 25070
25-29 years, Total, Total, Dambovita, Year 2022, Number of persons, 24530
25-29 years, Total, Total, Dambovita, Year 2023, Number of persons, 24247
25-29 years, Total, Total, Dambovita, Year 2024, Number of persons, 24517
25-29 years, Total, Total, Giurgiu, Year 2013, Number of persons, 17846
25-29 years, Total, Total, Giurgiu, Year 2014, Number of persons, 18667
25-29 years, Total, Total, Giurgiu, Year 2015, Number of persons, 18783
25-29 years, Total, Total, Giurgiu, Year 2016, Number of persons, 17865
25-29 years, Total, Total, Giurgiu, Year 2017, Number of persons, 16828
25-29 years, Total, Total, Giurgiu, Year 2018, Number of persons, 15248
25-29 years, Total, Total, Giurgiu, Year 2019, Number of persons, 13900
25-29 years, Total, Total, Giurgiu, Year 2020, Number of persons, 13212
25-29 years, Total, Total, Giurgiu, Year 2021, Number of persons, 12978
25-29 years, Total, Total, Giurgiu, Year 2022, Number of persons, 13357
25-29 years, Total, Total, Giurgiu, Year 2023, Number of persons, 13136
25-29 years, Total, Total, Giurgiu, Year 2024, Number of persons, 13184
25-29 years, Total, Total, Ialomita, Year 2013, Number of persons, 15528
25-29 years, Total, Total, Ialomita, Year 2014, Number of persons, 15994
25-29 years, Total, Total, Ialomita, Year 2015, Number of persons, 15962
25-29 years, Total, Total, Ialomita, Year 2016, Number of persons, 14868
25-29 years, Total, Total, Ialomita, Year 2017, Number of persons, 13215
25-29 years, Total, Total, Ialomita, Year 2018, Number of persons, 11569
25-29 years, Total, Total, Ialomita, Year 2019, Number of persons, 11170
25-29 years, Total, Total, Ialomita, Year 2020, Number of persons, 11067
25-29 years, Total, Total, Ialomita, Year 2021, Number of persons, 11540
25-29 years, Total, Total, Ialomita, Year 2022, Number of persons, 11226
25-29 years, Total, Total, Ialomita, Year 2023, Number of persons, 11246
25-29 years, Total, Total, Ialomita, Year 2024, Number of persons, 11277
25-29 years, Total, Total, Prahova, Year 2013, Number of persons, 47738
25-29 years, Total, Total, Prahova, Year 2014, Number of persons, 49681
25-29 years, Total, Total, Prahova, Year 2015, Number of persons, 50143
25-29 years, Total, Total, Prahova, Year 2016, Number of persons, 47232
25-29 years, Total, Total, Prahova, Year 2017, Number of persons, 43629
25-29 years, Total, Total, Prahova, Year 2018, Number of persons, 39396
25-29 years, Total, Total, Prahova, Year 2019, Number of persons, 36420
25-29 years, Total, Total, Prahova, Year 2020, Number of persons, 33927
25-29 years, Total, Total, Prahova, Year 2021, Number of persons, 32691
25-29 years, Total, Total, Prahova, Year 2022, Number of persons, 31071
25-29 years, Total, Total, Prahova, Year 2023, Number of persons, 30837
25-29 years, Total, Total, Prahova, Year 2024, Number of persons, 31199
25-29 years, Total, Total, Teleorman, Year 2013, Number of persons, 18373
25-29 years, Total, Total, Teleorman, Year 2014, Number of persons, 18723
25-29 years, Total, Total, Teleorman, Year 2015, Number of persons, 18219
25-29 years, Total, Total, Teleorman, Year 2016, Number of persons, 16907
25-29 years, Total, Total, Teleorman, Year 2017, Number of persons, 15467
25-29 years, Total, Total, Teleorman, Year 2018, Number of persons, 13985
25-29 years, Total, Total, Teleorman, Year 2019, Number of persons, 13360
25-29 years, Total, Total, Teleorman, Year 2020, Number of persons, 13557
25-29 years, Total, Total, Teleorman, Year 2021, Number of persons, 13843
25-29 years, Total, Total, Teleorman, Year 2022, Number of persons, 14279
25-29 years, Total, Total, Teleorman, Year 2023, Number of persons, 13894
25-29 years, Total, Total, Teleorman, Year 2024, Number of persons, 13893
25-29 years, Total, Total, Ilfov, Year 2013, Number of persons, 31618
25-29 years, Total, Total, Ilfov, Year 2014, Number of persons, 34023
25-29 years, Total, Total, Ilfov, Year 2015, Number of persons, 35471
25-29 years, Total, Total, Ilfov, Year 2016, Number of persons, 35506
25-29 years, Total, Total, Ilfov, Year 2017, Number of persons, 35356
25-29 years, Total, Total, Ilfov, Year 2018, Number of persons, 33506
25-29 years, Total, Total, Ilfov, Year 2019, Number of persons, 30870
25-29 years, Total, Total, Ilfov, Year 2020, Number of persons, 27083
25-29 years, Total, Total, Ilfov, Year 2021, Number of persons, 26036
25-29 years, Total, Total, Ilfov, Year 2022, Number of persons, 31292
25-29 years, Total, Total, Ilfov, Year 2023, Number of persons, 31942
25-29 years, Total, Total, Ilfov, Year 2024, Number of persons, 32533
25-29 years, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 172411
25-29 years, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 178558
25-29 years, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 178410
25-29 years, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 171795
25-29 years, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 161537
25-29 years, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 149716
25-29 years, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 130877
25-29 years, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 109494
25-29 years, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 93686
25-29 years, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 94961
25-29 years, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 95226
25-29 years, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 95955
25-29 years, Total, Total, Dolj, Year 2013, Number of persons, 43078
25-29 years, Total, Total, Dolj, Year 2014, Number of persons, 43941
25-29 years, Total, Total, Dolj, Year 2015, Number of persons, 44025
25-29 years, Total, Total, Dolj, Year 2016, Number of persons, 42677
25-29 years, Total, Total, Dolj, Year 2017, Number of persons, 41557
25-29 years, Total, Total, Dolj, Year 2018, Number of persons, 39751
25-29 years, Total, Total, Dolj, Year 2019, Number of persons, 37858
25-29 years, Total, Total, Dolj, Year 2020, Number of persons, 35857
25-29 years, Total, Total, Dolj, Year 2021, Number of persons, 34056
25-29 years, Total, Total, Dolj, Year 2022, Number of persons, 30422
25-29 years, Total, Total, Dolj, Year 2023, Number of persons, 30235
25-29 years, Total, Total, Dolj, Year 2024, Number of persons, 30550
25-29 years, Total, Total, Gorj, Year 2013, Number of persons, 20942
25-29 years, Total, Total, Gorj, Year 2014, Number of persons, 21209
25-29 years, Total, Total, Gorj, Year 2015, Number of persons, 20771
25-29 years, Total, Total, Gorj, Year 2016, Number of persons, 19243
25-29 years, Total, Total, Gorj, Year 2017, Number of persons, 17260
25-29 years, Total, Total, Gorj, Year 2018, Number of persons, 15738
25-29 years, Total, Total, Gorj, Year 2019, Number of persons, 15187
25-29 years, Total, Total, Gorj, Year 2020, Number of persons, 15464
25-29 years, Total, Total, Gorj, Year 2021, Number of persons, 15963
25-29 years, Total, Total, Gorj, Year 2022, Number of persons, 15618
25-29 years, Total, Total, Gorj, Year 2023, Number of persons, 15506
25-29 years, Total, Total, Gorj, Year 2024, Number of persons, 15656
25-29 years, Total, Total, Mehedinti, Year 2013, Number of persons, 14504
25-29 years, Total, Total, Mehedinti, Year 2014, Number of persons, 14644
25-29 years, Total, Total, Mehedinti, Year 2015, Number of persons, 14054
25-29 years, Total, Total, Mehedinti, Year 2016, Number of persons, 13345
25-29 years, Total, Total, Mehedinti, Year 2017, Number of persons, 12423
